,actor id,actor name,character,gender,movie id,movie release year,title,age,place of birth
460,1158,Al Pacino,Walter Burke,Male,1647,2003,The Recruit,63,"New York City, New York, USA"
461,2228,Sean Penn,Paul Rivers,Male,470,2003,21 Grams,43,"Santa Monica, California, USA"
462,10205,Sigourney Weaver,Warden Walker,Female,8326,2003,Holes,54,"Manhattan, New York City, New York, USA"
463,533325,Chieko Baishô,Sofî (voice),Female,4935,2004,Howl's Moving Castle,63,"Tokyo, Japan"
464,62439,David Belle,Leïto,Male,10045,2004,District B13,31,"Fecamp, France"
465,2130,Cary Elwes,Dr. Lawrence Gordon,Male,176,2004,Saw,42,London - England - UK
466,49265,Lindsay Lohan,Cady Heron,Female,10625,2004,Mean Girls,18,"New York City, New York, USA"
467,78729,Nathan Lane,Timon (voice),Male,11430,2004,The Lion King 1½,48,"Jersey City, New Jersey, U.S."
468,41464,Scott Mechlowicz,Scott Thomas,Male,9352,2004,EuroTrip,23,"New York City, New York, USA"
469,18976,Ashton Kutcher,Evan Treborn,Male,1954,2004,The Butterfly Effect,26,"Cedar Rapids, Iowa, USA"
470,176,Kieran O'Brien,Matt,Male,27,2004,9 Songs,31,"Oldham, Greater Manchester, UK"
471,57395,Natasha Henstridge,Eve,Female,9711,2004,Species III,30," Springdale, Newfoundland, Canada"
472,8767,Jim Caviezel,Jesus,Male,615,2004,The Passion of the Christ,36,"Mount Vernon, Washington, USA"
473,46393,Roseanne Barr,Maggie (voice),Female,13700,2004,Home on the Range,52,"Salt Lake City, Utah, USA"
474,21798,Johnny Messner,Bill Johnson,Male,11237,2004,Anacondas: The Hunt for the Blood Orchid,34,"Syracuse, New York, USA"
475,21702,Ming-Na Wen,Mulan,Female,12242,2004,Mulan II,41,"Coloane Island, Macau"
476,64805,Billy Brown,Pvt. Ottis Brick,Male,10304,2004,Starship Troopers 2: Hero of the Federation,0,"Inglewood, California, USA"
477,13253,Kyoko Fukada,Momoko Ryugasaki,Female,26275,2004,Kamikaze Girls,22," Tokyo, Japan"
478,9642,Jude Law,Sky Captain,Male,5137,2004,Sky Captain and the World of Tomorrow,32,"Lewisham, London, England, UK"
479,5918,Zachary Bennett,Eric Wynn,Male,438,2004,Cube Zero,24,"London, Ontario, Canada"
480,16962,Jang Dong-gun,Lee Jin-Tae,Male,11658,2004,Tae Guk Gi: The Brotherhood of War,32,"Yongsangu Seoul, Korea"
481,35690,Shawn Wayans,Kevin Copeland,Male,12153,2004,White Chicks,33,"New York City, New York, U.S"
482,1003,Jean Reno,commissaire Pierre Niemans,Male,60672,2004,Crimson Rivers II: Angels of the Apocalypse,56,"Casablanca, Morocco"
483,258,Gael García Bernal,Ernesto Guevara de la Serna,Male,1653,2004,The Motorcycle Diaries,26,"Guadalajara, Jalisco, Mexico"
484,13526,Noah Wyle,Flynn Carsen,Male,14207,2004,The Librarian: Quest for the Spear,33,"Hollywood, California, USA"
485,53926,Jon Heder,Napoleon Dynamite,Male,8193,2004,Napoleon Dynamite,27,"Fort Collins, Colorado, USA"
486,51391,Frankie Muniz,Cody Banks,Male,17047,2004,Agent Cody Banks 2: Destination London,19,"Ridgewood, New Jersey, USA"
487,77330,Kenan Thompson,Fat Albert,Male,15045,2004,Fat Albert,26,"Atlanta, Georgia, U.S."
488,21171,Gérard Jugnot,Clément Mathieu,Male,5528,2004,The Chorus,53," Paris, France"
489,12021,Mia Farrow,Grandmary Edwards,Female,25786,2004,Samantha: An American Girl Holiday,59,"Los Angeles, California, USA"
490,78076,Wayne Allwine,Mickey Mouse (voice),Male,13378,2004,Mickey's Twice Upon a Christmas,57,"Glendale, California, USA"
491,98,Sarah Polley,Ana,Female,924,2004,Dawn of the Dead,25,"	Toronto, Ontario, Canada"
492,11155,Thomas Jane,Frank Castle / The Punisher,Male,7220,2004,The Punisher,35,"Baltimore, Maryland, USA"
493,43662,Anne Suzuki,James Ray Steam (voice),Female,8953,2004,Steamboy,17,"Setagaya, Tokyo"
494,57208,Petchtai Wongkamlao,Wong Kom,Male,20256,2004,The Bodyguard,39,"Yasothon Province, Thailand"
495,38773,Max Riemelt,Friedrich Weimer,Male,9393,2004,Before the Fall,20,"Berlin, Germany"
496,5528,William Moseley,Peter Pevensie,Male,411,2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",18,Sheepscombe - Gloucestershire - England - UK
497,1954,Billy Zane,Jack,Male,9753,2005,Survival Island,39,"Chicago, Illinois, USA "
498,9657,Patrick Warburton,Kronk (voice),Male,13417,2005,Kronk's New Groove,41,"Paterson, New Jersey, USA"
499,70785,Anita Briem,Eve,Female,42968,2005,The Nun,23,Iceland
500,49961,Michelle Trachtenberg,Casey Carlyle,Female,13374,2005,Ice Princess,20,"New York, City, New York, USA"
501,25001,Lee Young-ae,Guem-ja,Female,4550,2005,Sympathy for Lady Vengeance,34,"Seoul, South Korea"
502,114,Orlando Bloom,Balian de Ibelin,Male,1495,2005,Kingdom of Heaven,28,"Canterbury, Kent, England, UK"
503,51797,Nathan Fillion,Mal,Male,16320,2005,Serenity,34,Edmonton - Alberta - Canada
504,7998,Bret 'Brook' Parker,Kari McKeen (voice),Female,13932,2005,Jack-Jack Attack,0,
505,11661,Kate Hudson,Caroline Ellis,Female,9913,2005,The Skeleton Key,26,"Los Angeles, California, USA"
506,131157,Harrison Chad,Tarzan (voice),Male,15657,2005,Tarzan II,13,
