,actor id,actor name,character,gender,movie id,title
923,85,Johnny Depp,Ichabod Crane,Male,2668,Sleepy Hollow
924,2888,Will Smith,Capt. James West,Male,8487,Wild Wild West
925,4757,Rupert Everett,Oberon,Male,10210,A Midsummer Night's Dream
926,85,Johnny Depp,Dean Corso,Male,622,The Ninth Gate
927,63,Milla Jovovich,Jeanne d’Arc,Female,10047,The Messenger: The Story of Joan of Arc
928,120801,Hayato Isohata,Yamada Noboru (voice),Male,16198,My Neighbors the Yamadas
929,3131,Antonio Banderas,Ahmad Ibn Fadlān,Male,1911,The 13th Warrior
930,10431,Jennifer Jason Leigh,Allegra Geller,Female,1946,eXistenZ
931,118,Geoffrey Rush,Stephen H. Price,Male,11377,House on Haunted Hill
932,7090,Kelsey Grammer,Narrator (voice),Male,15400,Mickey's Once Upon a Christmas
933,521,Michael J. Fox,Stuart Little (voice),Male,10137,Stuart Little
934,418,Robert Patrick,Buck,Male,12095,From Dusk Till Dawn 2: Texas Blood Money
935,19292,Adam Sandler,Sonny Koufax,Male,9032,Big Daddy
936,1461,George Clooney,Archie Gates,Male,6415,Three Kings
937,1892,Matt Damon,Tom Ripley,Male,1213,The Talented Mr. Ripley
938,67773,Steve Martin,Himself - Introductory Host,Male,49948,Fantasia 2000
939,529,Guy Pearce,Captain John Boyd,Male,10212,Ravenous
940,2963,Nicolas Cage,Tom Welles,Male,8224,8MM
941,7691,Caroline Ducey,Marie,Female,26338,Romance
942,17402,Ron Livingston,Peter Gibbons,Male,1542,Office Space
943,738,Sean Connery,"Robert ""Mac"" MacDougal",Male,1844,Entrapment
944,1185039,Angela Nicholas,Amber Seaboring (as Angela Davies),Female,482118,Hot Club California
945,776,Eddie Murphy,Rayford Gibson,Male,6522,Life
946,1158,Al Pacino,Lowell Bergman,Male,9008,The Insider
947,15111,Jean-Claude Van Damme,Luc Devereux,Male,10366,Universal Soldier: The Return
948,3036,John Cusack,Craig Schwartz,Male,492,Being John Malkovich
949,448,Hilary Swank,Brandon Teena,Female,226,Boys Don't Cry
950,33260,Freddie Prinze Jr.,Zach Siler,Male,10314,She's All That
951,1160,Michelle Pfeiffer,Beth Cappadora,Female,30943,The Deep End of the Ocean
