,genre,movie id,title
864,Drama,788,Mrs. Doubtfire
865,Family,788,Mrs. Doubtfire
866,Adventure,5503,The Fugitive
867,Action,5503,The Fugitive
868,Thriller,5503,The Fugitive
869,Crime,5503,The Fugitive
870,Mystery,5503,The Fugitive
871,Action,39105,Dragon Ball Z: Bojack Unbound
872,Animation,39105,Dragon Ball Z: Bojack Unbound
873,Action,12780,Iron Monkey
874,Crime,12780,Iron Monkey
875,Drama,12780,Iron Monkey
876,Comedy,10439,Hocus Pocus
877,Family,10439,Hocus Pocus
878,Fantasy,10439,Hocus Pocus
879,Horror,10439,Hocus Pocus
880,Adventure,6878,Homeward Bound: The Incredible Journey
881,Comedy,6878,Homeward Bound: The Incredible Journey
882,Drama,6878,Homeward Bound: The Incredible Journey
883,Family,6878,Homeward Bound: The Incredible Journey
884,Family,1634,Free Willy
885,Adventure,1634,Free Willy
886,Drama,1634,Free Willy
887,Music,6279,Sister Act 2: Back in the Habit
888,Comedy,6279,Sister Act 2: Back in the Habit
889,Action,11969,Tombstone
890,Adventure,11969,Tombstone
891,Drama,11969,Tombstone
892,History,11969,Tombstone
893,Western,11969,Tombstone
894,Comedy,858,Sleepless in Seattle
895,Drama,858,Sleepless in Seattle
896,Romance,858,Sleepless in Seattle
897,Drama,713,The Piano
898,Romance,713,The Piano
899,Fantasy,11687,The Visitors
900,Comedy,11687,The Visitors
901,Drama,867,Sliver
902,Thriller,867,Sliver
903,Action,9702,Bound by Honor
904,Crime,9702,Bound by Honor
905,Drama,9702,Bound by Honor
906,Thriller,9702,Bound by Honor
907,Romance,4478,Indecent Proposal
908,Drama,4478,Indecent Proposal
909,Adventure,9593,Last Action Hero
910,Fantasy,9593,Last Action Hero
911,Action,9593,Last Action Hero
912,Comedy,9593,Last Action Hero
913,Family,9593,Last Action Hero
914,Drama,10997,Farewell My Concubine
915,Action,1499,Teenage Mutant Ninja Turtles III
916,Adventure,1499,Teenage Mutant Ninja Turtles III
917,Comedy,1499,Teenage Mutant Ninja Turtles III
918,Family,1499,Teenage Mutant Ninja Turtles III
919,Fantasy,1499,Teenage Mutant Ninja Turtles III
920,Science Fiction,1499,Teenage Mutant Ninja Turtles III
921,Fantasy,14282,Ninja Scroll
922,Adventure,14282,Ninja Scroll
923,Animation,14282,Ninja Scroll
924,Action,10057,The Three Musketeers
925,Adventure,10057,The Three Musketeers
926,Comedy,10057,The Three Musketeers
927,Comedy,28260,Return of the Living Dead 3
928,Science Fiction,28260,Return of the Living Dead 3
929,Romance,28260,Return of the Living Dead 3
930,Horror,28260,Return of the Living Dead 3
931,Comedy,864,Cool Runnings
932,Drama,11101,Stalingrad
933,History,11101,Stalingrad
934,War,11101,Stalingrad
935,Drama,8092,This Boy’s Life
936,Romance,11982,Look Who's Talking Now!
937,Comedy,11982,Look Who's Talking Now!
938,Family,11982,Look Who's Talking Now!
939,Action,5550,RoboCop 3
940,Adventure,5550,RoboCop 3
941,Crime,5550,RoboCop 3
942,Science Fiction,5550,RoboCop 3
943,Thriller,5550,RoboCop 3
944,Action,10413,Nowhere to Run
945,Adventure,10413,Nowhere to Run
946,Drama,10413,Nowhere to Run
947,Thriller,10413,Nowhere to Run
948,Family,12139,Dennis the Menace
949,Comedy,12139,Dennis the Menace
950,Drama,11971,Much Ado About Nothing
951,Comedy,11971,Much Ado About Nothing
952,Romance,11971,Much Ado About Nothing
953,Comedy,8005,Robin Hood: Men in Tights
954,Action,39324,Dragon Ball Z: The History of Trunks
955,Animation,39324,Dragon Ball Z: The History of Trunks
956,Adventure,39324,Dragon Ball Z: The History of Trunks
957,Comedy,11041,The Beverly Hillbillies
958,Comedy,11520,Grumpy Old Men
959,Action,319,True Romance
960,Thriller,319,True Romance
961,Crime,319,True Romance
962,Romance,319,True Romance
963,Animation,531,The Wrong Trousers
